                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1727,                 1.4708,                 1.3572,                0.61774,                0.48589,                0.52844,                0.37582,                 1.0763,                 1.1982,                 1.2721,              0.0082072,              0.0082072,              0.0082072
                     57,                 1.1686,                 1.4636,                 1.3537,                0.62871,                0.48269,                0.53035,                0.37719,                 1.0756,                 1.1967,                 1.2704,               0.008174,               0.008174,               0.008174
                     58,                 1.1768,                 1.4706,                 1.3588,                0.63268,                0.47961,                0.52864,                0.37623,                 1.0738,                 1.1911,                 1.2685,              0.0081408,              0.0081408,              0.0081408
                     59,                 1.1666,                 1.4628,                  1.355,                0.63293,                0.48452,                0.53177,                0.37836,                  1.072,                 1.1895,                 1.2669,              0.0081076,              0.0081076,              0.0081076
                     60,                  1.175,                 1.4587,                 1.3551,                0.62527,                 0.4881,                0.53298,                0.37832,                 1.0722,                 1.1852,                 1.2672,              0.0080744,              0.0080744,              0.0080744
                     61,                 1.1666,                 1.4622,                  1.355,                0.62027,                0.48913,                0.53258,                 0.3796,                 1.0733,                 1.1849,                  1.267,              0.0080412,              0.0080412,              0.0080412
                     62,                 1.1695,                 1.4583,                 1.3539,                 0.6222,                0.49646,                0.53479,                0.38107,                 1.0712,                  1.181,                 1.2662,               0.008008,               0.008008,               0.008008
                     63,                 1.1676,                 1.4531,                 1.3524,                 0.6245,                0.49283,                0.53583,                0.38168,                 1.0691,                 1.1791,                 1.2639,              0.0079748,              0.0079748,              0.0079748
                     64,                 1.1679,                 1.4597,                 1.3529,                0.62835,                0.49127,                0.53629,                0.38251,                 1.0689,                 1.1766,                 1.2637,              0.0079416,              0.0079416,              0.0079416
                     65,                 1.1675,                 1.4506,                 1.3487,                0.61982,                0.49694,                0.53695,                0.38383,                 1.0693,                  1.177,                 1.2638,              0.0079084,              0.0079084,              0.0079084
                     66,                 1.1646,                 1.4452,                 1.3485,                0.61789,                0.49631,                0.53671,                0.38324,                 1.0697,                 1.1754,                 1.2632,              0.0078752,              0.0078752,              0.0078752
                     67,                 1.1649,                 1.4437,                 1.3467,                0.62751,                0.49947,                0.53933,                0.38432,                 1.0685,                 1.1729,                 1.2627,               0.007842,               0.007842,               0.007842
                     68,                 1.1651,                 1.4466,                 1.3491,                0.62393,                0.49863,                0.53932,                0.38393,                  1.068,                 1.1713,                 1.2615,              0.0078088,              0.0078088,              0.0078088
                     69,                 1.1643,                 1.4532,                 1.3502,                0.62704,                0.50021,                0.54061,                  0.386,                 1.0663,                 1.1683,                  1.261,              0.0077756,              0.0077756,              0.0077756
                     70,                 1.1666,                 1.4455,                 1.3455,                0.63699,                0.49503,                0.54066,                0.38619,                 1.0659,                 1.1679,                 1.2614,              0.0077424,              0.0077424,              0.0077424
                     71,                 1.1612,                 1.4352,                 1.3431,                 0.6344,                0.49567,                0.54157,                0.38667,                 1.0658,                 1.1654,                 1.2596,              0.0077092,              0.0077092,              0.0077092
                     72,                 1.1638,                 1.4396,                 1.3444,                 0.6409,                0.49931,                0.54307,                0.38769,                 1.0648,                  1.161,                 1.2596,               0.007676,               0.007676,               0.007676
                     73,                 1.1629,                 1.4377,                 1.3444,                0.61921,                 0.5089,                0.54292,                0.38792,                 1.0628,                 1.1587,                 1.2573,              0.0076428,              0.0076428,              0.0076428
                     74,                 1.1545,                  1.428,                 1.3415,                0.62786,                0.50285,                0.54277,                0.38903,                 1.0638,                 1.1586,                 1.2579,              0.0076096,              0.0076096,              0.0076096
                     75,                 1.1627,                 1.4269,                 1.3424,                0.62317,                0.50678,                0.54414,                 0.3891,                  1.063,                 1.1548,                 1.2565,              0.0075764,              0.0075764,              0.0075764
                     76,                 1.1558,                 1.4281,                 1.3418,                0.63569,                0.50319,                0.54561,                0.39025,                 1.0619,                  1.155,                  1.256,              0.0075432,              0.0075432,              0.0075432
                     77,                 1.1573,                 1.4223,                 1.3366,                0.63425,                0.50656,                0.54654,                 0.3899,                 1.0611,                 1.1528,                 1.2559,                0.00751,                0.00751,                0.00751
                     78,                 1.1547,                 1.4254,                 1.3437,                 0.6164,                0.51384,                0.54628,                0.39028,                 1.0608,                 1.1541,                 1.2543,              0.0074768,              0.0074768,              0.0074768
                     79,                 1.1559,                 1.4301,                 1.3399,                 0.6322,                0.50705,                 0.5465,                0.39052,                 1.0612,                 1.1501,                 1.2548,              0.0074436,              0.0074436,              0.0074436
                     80,                 1.1537,                 1.4185,                 1.3382,                0.63199,                0.50271,                0.54619,                0.39074,                 1.0608,                 1.1486,                 1.2542,              0.0074104,              0.0074104,              0.0074104
                     81,                 1.1517,                 1.4151,                 1.3379,                0.63206,                0.50562,                0.54865,                0.39283,                 1.0588,                 1.1487,                 1.2522,              0.0073772,              0.0073772,              0.0073772
                     82,                 1.1542,                  1.423,                 1.3392,                0.64305,                0.50637,                0.54985,                0.39358,                 1.0593,                 1.1466,                 1.2527,               0.007344,               0.007344,               0.007344
                     83,                 1.1539,                 1.4149,                 1.3353,                0.63457,                0.50839,                0.54939,                0.39226,                 1.0576,                 1.1438,                 1.2513,              0.0073108,              0.0073108,              0.0073108
                     84,                 1.1514,                 1.4148,                 1.3355,                0.63011,                0.51261,                0.55161,                0.39484,                 1.0569,                 1.1404,                 1.2502,              0.0072776,              0.0072776,              0.0072776
                     85,                 1.1548,                  1.414,                 1.3353,                0.63948,                0.50594,                0.55168,                0.39492,                 1.0565,                 1.1403,                 1.2495,              0.0072444,              0.0072444,              0.0072444
                     86,                 1.1507,                 1.4099,                 1.3349,                0.63798,                0.50928,                0.55238,                0.39506,                 1.0577,                 1.1396,                 1.2501,              0.0072112,              0.0072112,              0.0072112
                     87,                 1.1551,                 1.4132,                 1.3349,                0.64018,                 0.5109,                0.55361,                0.39574,                 1.0546,                 1.1381,                 1.2483,               0.007178,               0.007178,               0.007178
                     88,                 1.1557,                  1.421,                 1.3354,                0.64005,                0.51081,                0.55385,                0.39446,                 1.0569,                 1.1389,                 1.2493,              0.0071448,              0.0071448,              0.0071448
                     89,                 1.1527,                 1.4094,                 1.3351,                0.64497,                0.50843,                 0.5554,                0.39682,                 1.0548,                 1.1339,                 1.2477,              0.0071116,              0.0071116,              0.0071116
                     90,                 1.1457,                 1.3995,                 1.3275,                0.63813,                0.51522,                0.55637,                0.39797,                  1.055,                 1.1327,                 1.2475,              0.0070784,              0.0070784,              0.0070784
                     91,                 1.1483,                 1.4076,                 1.3344,                0.65403,                0.50676,                0.55625,                0.39639,                 1.0535,                 1.1314,                 1.2458,              0.0070452,              0.0070452,              0.0070452
                     92,                 1.1496,                 1.4031,                 1.3332,                0.63319,                0.51341,                0.55419,                0.39655,                  1.054,                 1.1309,                 1.2468,               0.007012,               0.007012,               0.007012
